name	id	definition	comment	broad	exact	related
hindlimb skeleton	UBERON_0001441	Subdivision of skeleton consisting of all skeletal elements in an hindlimb region.	TOOD - find a home for: FMA:24140		free lower limb skeleton|lower limb skeleton|hind limb skeleton|skeleton of free lower limb|hindlimb skeleton|bones of lower limb|set of bones of lower limb|hind-limb skeleton|ossa membri inferioris|skeleton of lower limb	
skeleton of manus	UBERON_0001442	Subdivision of skeleton that is the collection of all skeletal elements in a manus, which is the distal section of the anterior forelimb skeleton consisting of the mesopodium, the metapodium and the acropodium (e.g. including the wrist, palm, and fingers)[Phenoscape].	here 'manus' includes both the wrist region, metatarsal region and acropodial region		skeleton of hand|anterior autopodium skeleton|bones of hand|set of bones of hand|manus skeleton|fore autopod skeleton|hand skeleton|manual skeleton|ossa manus|hand region skeleton|forelimb autopod skeleton	anterior autopodium|manus
chest	UBERON_0001443	Subdivision of trunk proper, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin and associated with the thoracic vertebral column and ribcage and from the back of the thorax by the external surface of the posterolateral part of the rib cage, the anterior surface of the thoracic vertebral column and the posterior axillary lines; together with the abdomen and the perineum, it constitutes the trunk proper[FMA].			ventral part of thoracic region|pectus|anterolateral part of thorax|front of thorax	thoracic body wall|thorax
subdivision of head	UBERON_0001444				head subdivision	head region|region of head
skeleton of pes	UBERON_0001445	Subdivision of skeleton that is the collection of all skeletal elements in a pes, which is the distal section of the posterior hindlimb skeleton consisting of the mesopodium, the metapodium and the acropodium (e.g. including the ankle, sole, and toes)[Phenoscape].	here 'pes' includes both the ankle region, metatarsals and acropodial region		skeleton of foot|posterior autopodium skeleton|pes skeleton|set of bones of foot|foot region skeleton|foot skeleton|pedal skeleton	posterior autopodium|pes
tarsal bone	UBERON_0001447	A bone that is part of the tarsal skeleton. Examples: calcaneus, talus, centralia.			bone of ankle|ossa tarsalia|bone of tarsus|ossa tarsi|ankle bone|bone of tarsal skeleton	bony tarsus|hind mesopodium|tarsus osseus|tarsal
metatarsal bone	UBERON_0001448	The metatarsus or metatarsal bones are a group of five long bones in the pes located between the tarsal bones of the hind- and mid-pes and the phalanges of the toes. Lacking individual names, the metatarsal bones are numbered from the medial side (side of big toe): the first, second, third, fourth, and fifth metatarsal. The metatarsals are analogous to the metacarpal bones of the manus. [WP,unvetted].			metatarsal	ossa metatarsi|ossa metatarsalia
phalanx of pes	UBERON_0001449	A phalanx that is part of a hindlimb autopod[Automatically generated definition].		digital bone of pes	pedal phalanx|phalanx of hind digit|digitus pedis phalanx|phalanx of pes|foot phalanx|toe phalanx|phalanx of toe|phalanx of digit of foot|phalanx of digitus pedis|foot digit phalanx|phalanx of foot digit	phalanges of hind digit|bone of toe
face	UBERON_0001456	A subdivision of the head that has as parts the layers deep to the surface of the anterior surface, including the mouth, eyes, and nose (when present). In vertebrates, this includes the facial skeleton and structures superficial to the facial skeleton (cheeks, mouth, eyeballs, skin of face, etc).				visage|facia/facies
skin of eyelid	UBERON_0001457	A zone of skin that is part of a eyelid [Automatically generated definition].			zone of skin of eyelid|eyelid zone of skin|zone of skin of blepharon|blepharon zone of skin|eyelid skin	
skin of lip	UBERON_0001458	A zone of skin that is part of a lip [Automatically generated definition].			zone of skin of lip|lip zone of skin|lip skin	skin of lips
skin of external ear	UBERON_0001459	A zone of skin that is part of a external ear [Automatically generated definition].			ear skin|auricular region zone of skin|zone of skin of auricular region|outer ear zone of skin|zone of skin of auricular region of head|external ear skin|external ear zone of skin|zone of skin of external ear|zone of skin of outer ear|auricular region of head zone of skin	
arm	UBERON_0001460	The part of the forelimb extending from the shoulder to the autopod[cjm].				brachium|upper extremity
elbow	UBERON_0001461	The elbow is the region surrounding the elbow-joint-the ginglymus or hinge joint in the middle of the arm. Three bones form the elbow joint: the humerus of the upper arm, and the paired radius and ulna of the forearm. The bony prominence at the very tip of the elbow is the olecranon process of the ulna, and the inner aspect of the elbow is called the antecubital fossa. [WP,unvetted,human-specific].			cubital region|elbow region|elbow limb segment	articulatio cubiti
hip	UBERON_0001464	The hip region is located lateral to the gluteal region (i.e. the buttock), inferior to the iliac crest, and overlying the greater trochanter of the thigh bone. In adults, three of the bones of the pelvis have fused into the hip bone which forms part of the hip region. The hip joint, scientifically referred to as the acetabulofemoral joint (art. coxae), is the joint between the femur and acetabulum of the pelvis and its primary function is to support the weight of the body in both static (e.g. standing) and dynamic (e.g. walking or running) postures. [WP,modified].			regio coxae|hip region	coxa
knee	UBERON_0001465	A segment of the hindlimb that corresponds to the joint connecting a hindlimb stylopod and zeugopod.			knee region	
pedal digit	UBERON_0001466	A digit that is part of a pes (foot).			hind digit|hind_digit|hindlimb digit|pedal digit (phalangeal portion) plus soft tissue|digit of terminal segment of lower limb|foot digit|pes digit|toe|digiti pedis|digit of foot|digitus pedis	digiti pedis|digitipedis
shoulder	UBERON_0001467	A subdivision of the pectoral complex consisting of the structures in the region of the shoulder joint (which connects the humerus, scapula and clavicle).			shoulder region	articulatio humeri
intervertebral joint	UBERON_0001468	The joint between adjacent vertebral bodies. May be composed of the nucleus pulposus, annular ligament, and the anterior and posterior longitudinal ligaments.		vertebral joint	joint of vertebral body|inter-vertebral joint|inter-centrum joint|intervertebral symphysis	
sternoclavicular joint	UBERON_0001469	The sternoclavicular articulation is a double arthrodial joint composed of two portions separated by an articular disc. The parts entering into its formation are the sternal end of the clavicle, the upper and lateral part of the manubrium sterni, and the cartilage of the first rib, visible from the outside as the suprasternal notch. The articular surface of the clavicle is much larger than that of the sternum, and is invested with a layer of cartilage, which is considerably thicker than that on the latter bone. The ligaments of this joint are: Articular capsule Anterior sternoclavicular ligament Posterior sternoclavicular ligament Interclavicular ligament Costoclavicular ligament Articular disk [WP,unvetted].		sternoclavicular	sterno clavicular joint|sternoclavicular articulation	articulatio sternoclavicularis
glenohumeral joint	UBERON_0001470	The glenohumeral joint, commonly known as the shoulder joint, is a multiaxial synovial ball and socket joint and involves articulation between the glenoid fossa of the scapula (shoulder blade) and the head of the humerus (upper arm bone). [WP,unvetted].		joint of shoulder|shoulder joint	humeral joint|articulatio humeri	humeroscapular joint
skin of prepuce of penis	UBERON_0001471	the loose fold of skin that covers the penis			preputial skin|penis foreskin|foreskin of penis	
vaginal venous plexus	UBERON_0001472	The vaginal plexuses are placed at the sides of the vagina; they communicate with the uterine, vesical, and hemorrhoidal plexuses, and are drained by the vaginal veins, one on either side, into the hypogastric veins. [WP,unvetted].			venous vaginal plexus	plexus venosus vaginalis
lymphatic vessel	UBERON_0001473	A vessel that contains or conveys lymph, that originates as an interfibrillar or intercellular cleft or space in a tissue or organ, and that if small has no distinct walls or walls composed only of endothelial cells and if large resembles a vein in structure[BTO].			lymph vessel	vas lymphaticum
bone element	UBERON_0001474	Skeletal element that is composed of bone tissue.			bone organ	bones|bone
deltoid	UBERON_0001476	A muscle of shoulder which attaches to the scapula, clavicle and humerus.[FMA,generalized]	We use a generic definition that includes the deltoideus as represented in AAO: 'Muscle which originates as three heads, the pars externalis, pars clavicularis, and pars scapularis. The pars externalis originates from the lateral border of the omosternum and inserts on the distal portion of the humerus. The pars clavicularis originates from the ventro-lateral surface of the clavicle and inserts on the deltoid crest of the humerus. The pars scapularis originates from the lateral surface of the clavicle and inserts on the deltoid crest of the humerus'. Kardong: Dorsal group		deltoid muscle|musculus deltoideus|m. deltoideus	deltoideus|deltoideus muscle|musculus deltoideus|common shoulder muscle
sesamoid bone	UBERON_0001479	A sesamoid element that is composed of bone tissue.	Sesamoids are often endochondral replacement elements and in addition to bone tissue, may also be composed of articular cartilage, fibrocartilage, hyaline cartilage, and calcified cartilage.[VSAO]	sesamoid	ossa sesamoidea	
proximal carpal bone	UBERON_0001480	A carpal bone that proximally_connected_to a forelimb zeugopod skeleton.				
muscle of shoulder	UBERON_0001482	Any muscle organ that is part of a shoulder [Automatically generated definition].			muscle organ of shoulder|shoulder muscle organ|shoulder muscle	
skin of shoulder	UBERON_0001483	A zone of skin that is part of a shoulder region.			shoulder skin|zone of skin of shoulder|shoulder zone of skin	
articular capsule	UBERON_0001484	An articular capsule (or joint capsule) is an envelope surrounding a synovial joint. [WP,unvetted].			fibrous capsule of joint|capsula articularis|joint capsule|joint fibrous capsule	capsulae articulares
knee joint	UBERON_0001485	The knee joint joins the thigh with the leg and consists of two articulations: one between the femur and tibia, and one between the femur and patella. It is the largest and most complicated joint in the human body. The knee is a mobile trocho-ginglymus (i.e. a pivotal hinge joint), which permits flexion and extension as well as a slight medial and lateral rotation[WP,unvetted].			joint of knee	articulatio genus
pes joint	UBERON_0001487	A skeletal joint that is part of a pes [Automatically generated definition].			foot joint|joint of terminal segment of free lower limb|hind limb autopod joint|joints of foot|articulationes pedis|joint of pes|pedal joint	
ankle joint	UBERON_0001488	A joint that connects the hindlimb autopod and zeugopod skeletons.				mortise joint|talocrural joint|talocrural articulation
manus joint	UBERON_0001489	A skeletal joint that is part of a manus (hand) [Automatically generated definition].			articulationes manus|hand joint|joint of hand|joint of terminal segment of free upper limb|joint of manus|manual joint	
elbow joint	UBERON_0001490	A joint that connects the forelimb zeugopod and stylopod skeletons[Obol].			articulatio cubiti|cubital region joint|joint of elbow|joint of cubital region	
wrist joint	UBERON_0001491	A joint connecting the forelimb zeugopod skeleton with the carpal skeleton.			carpal region joint|joint of wrist|joint of carpal region	
axillary nerve	UBERON_0001493	The axillary nerve is a nerve of the human body, that comes off the posterior cord of the brachial plexus at the level of the axilla (armpit) and carries nerve fibers from C5 and C6. The axillary nerve travels through the quadrangular space with the posterior circumflex humeral artery and vein. [WP,unvetted].			circumflex humeral nerve	nervus axillaris|auxillery nerve|circumflex nerve
pectoral muscle	UBERON_0001495	Muscles of the upper chest. The term may refer to one of two muscles, the pectoralis major and pectoralis minor. The former is a thick muscle in the anterior portion of the chest. Its action involves flexion, medial rotation, and adduction of the humerus. The latter is a thin muscle located beneath the pectoralis major. Its action involves lowering the scapula and raising the ribs.	This currently groups the major and minor muscles (which have different attachment sites) as well as the AAO structure: Muscle which is comprised of three heads. The anterior head is the portio epicoracoidea that originates on the epicoracoid cartilage and inserts on the deltoid crest of the humerus. The next more posterior head, portio sternalis, originates on the sternum and inserts in the groove next to the deltoid crest of the humerus. The most posterior head, portio abdominalis, arises from the M. rectus abdominis and inserts on the deltoid crest of the humerus		muscle of pectoral part of chest|muscle of pectoral region|M. pectoralis	breast muscle|pectoralis group muscle|pectoralis|pectoralis muscle
muscle of pelvic girdle	UBERON_0001497	Any muscle organ that is part of a pelvic girdle [Automatically generated definition].			girdle-pelvic muscle organ|muscle organ of pelvic girdle bone|pelvic girdle muscle|pelvic girdle muscle organ|muscle organ of girdle-pelvic|muscle organ of pelvic girdle|pelvic girdle skeletal muscle	
muscle of pes	UBERON_0001498	Any muscle organ that is part of a pes [Automatically generated definition].			muscle organ of foot|foot muscle|foot muscle organ|muscle of foot	
muscle of arm	UBERON_0001499	A muscle organ that is part of an arm [Automatically generated definition].			muscle of upper arm or lower arm|arm skeletal muscle tissue|upper arm / lower arm muscle|arm skeletal muscle|arm muscle	arm muscle system
muscle of manus	UBERON_0001500	Any muscle organ that is part of a manus [Automatically generated definition].			hand muscle|manus muscle organ|muscle organ of manus|manus muscle|muscle of hand	
arch of aorta	UBERON_0001508	the convex portion of the aorta between the ascending and descending parts of the aorta; branches from it include the brachiocephalic trunk, the left common carotid artery, and the left subclavian artery; the brachiocephalic trunk further splits to form the right subclavian artery and the right common carotid artery			arcus aortae	thoracic aorta|aortic arch
skin of knee	UBERON_0001510	A zone of skin that is part of a knee [Automatically generated definition].			zone of skin of knee|knee skin|knee zone of skin	
skin of leg	UBERON_0001511	A zone of skin that is part of a leg [Automatically generated definition].			leg zone of skin|zone of skin of leg|leg skin	
skin of ankle	UBERON_0001512	A zone of skin that is part of an ankle [Automatically generated definition].			zone of skin of ankle|ankle zone of skin|ankle skin|tarsal region skin	
skin of pes	UBERON_0001513	A zone of skin that is part of a pes [Automatically generated definition].			skin of foot|foot skin	
descending aorta	UBERON_0001514	The descending aorta is the portion of the aorta in a two-pass circulatory system from the arch of aorta to the point where it divides into the common iliac arteries[GO]. The descending aorta is part of the aorta, the largest artery in the body. The descending aorta is the part of the aorta beginning at the aortic arch that runs down through the chest and abdomen. The descending aorta is divided into two portions, the thoracic and abdominal, in correspondence with the two great cavities of the trunk in which it is situated. Within the abdomen, the descending aorta branches into the two common iliac arteries which serve the legs. [WP,unvetted].			pars descendens aortae	aorta descendens|pars descendens aortae
thoracic aorta	UBERON_0001515	the part of the aorta that extends from the origin at the heart to the diaphragm, and from which arises numerous branches that supply oxygenated blood to the chest cage and the organs within the chest			thoracic part of aorta|aorta thoracica	aorta thoracalis|pars thoracica aortae
abdominal aorta	UBERON_0001516	Abdominal part of aorta: the distal part of the descending aorta, which is the continuation of the thoracic part and gives rise to the inferior phrenic, lumbar, median sacral, superior and inferior mesenteric, middle suprarenal, renal, and testicular or ovarian arteries, and celiac trunk[BTO]. The abdominal aorta is the largest artery in the abdominal cavity. As part of the aorta, it is a direct continuation of descending aorta(of the thorax). [WP,unvetted].			pars abdominalis aortae|descending abdominal aorta|abdominal part of aorta	aorta abdominalis|pars abdominalis aortae|abdominal part of aorta
skin of elbow	UBERON_0001517	A zone of skin that is part of a elbow [Automatically generated definition].			zone of skin of cubital region|elbow skin|elbow zone of skin|cubital region zone of skin|zone of skin of elbow	
skin of wrist	UBERON_0001518	A zone of skin that is part of a wrist [Automatically generated definition].			zone of skin of wrist|carpal region zone of skin|zone of skin of carpal region|wrist zone of skin|wrist skin	
skin of manus	UBERON_0001519	A zone of skin that is part of a manus [Automatically generated definition].			skin of hand|hand skin|manus skin	
brachiocephalic artery	UBERON_0001529	the short first aortic arch branch and divides into the right subclavian artery and the right common carotid artery		innominate	truncus brachiocephalicus|brachiocephalic trunk|innominate artery	truncus brachiocephalicus
common carotid artery plus branches	UBERON_0001530	A bilaterally paired branched artery that originates from the aortic arches and divides into and includes as parts the internal and external carotid arteries[cjm].		carotid artery	carotid artery system|trunk of common carotid tree|common carotid artery	a. carotis communis
right common carotid artery plus branches	UBERON_0001531	The rightmost of the two common carotid arteries, originating from in the neck from the brachiocephalic trunk.			right common carotid artery|trunk of right common carotid tree	right common carotid artery
internal carotid artery	UBERON_0001532	A terminal branch of the left or right common carotid artery which supplies oxygenated blood to the brain and eyes[MP]			cranial carotid artery|internal carotid	arteria carotis interna|ICA
subclavian artery	UBERON_0001533	One of two laterally paired arteries that supplies the pectoral appendages, usually branching from the dorsal aorta			arterial tree of upper limb|pectoral artery|subclavian arterial tree|arteria subclavia	PA|arteria subclavia
right subclavian artery	UBERON_0001534	The subclavian artery that supplies the right pectoral appendage			arteria subclavia dextra	
left common carotid artery plus branches	UBERON_0001536	The leftmost of the two common carotid arteries, originating from the aortic arch in the thorax.			left common carotid artery|trunk of left common carotid tree	left common carotid artery
dorsal metatarsal vein	UBERON_0001549	The dorsal metatarsal veins are veins which drain the metatarsus of the foot. [WP,unvetted].			metatarsal vein	venae metatarsales dorsales
kidney arcuate artery	UBERON_0001552	One of the curved arteries at the corticomedullary border of the kidney that arise from the interlobar arteries and give rise to the interlobular arteries.		arcuate artery	renal arcuate artery	
skin of hip	UBERON_0001554	A zone of skin that is part of a hip region.			regio coxae zone of skin|zone of skin of hip region|hip zone of skin|zone of skin of hip|hip region zone of skin|hip skin|zone of skin of regio coxae	
digestive tract	UBERON_0001555	A tube extending from the mouth to the anus.		gut	digestive tube|enteric tract	digestive canal|gut tube
lower urinary tract	UBERON_0001556	Subdivision of urinary system which consists of the urinary bladder and the urethra.				
upper respiratory tract	UBERON_0001557	The segment of the respiratory tract that starts proximally with the nose and ends distally with the cricoid cartilage, before continuing to the trachea.				
lower respiratory tract	UBERON_0001558	The segment of the respiratory tract that starts proximally with the trachea and includes all distal structures including the lungs[WP,modified]			lower respiratory system	
neck of organ	UBERON_0001560				organ neck	
muscle of larynx	UBERON_0001568	The muscles associated with the larynx.			larynx muscle organ|laryngeal muscle|larynx muscle|musculi laryngeales|muscle organ of larynx	
genioglossus muscle	UBERON_0001571	Either of a pair of lingual muscles with origin in the mandible, with insertion to the lingual fascia below the mucous membrane and epiglottis, with nerve supply from the hypoglossal nerve, and whose action depresses and protrudes the tongue.			musculus genioglossus|genioglossus|m. genioglossus	
hyoglossus muscle	UBERON_0001572	A muscle that attaches to the hyopid bone and to the tongue and is innervated by cranial nerve XII			m. hyoglossus|hyoglossus	
extrinsic muscle of tongue	UBERON_0001575	A muscle organ that attaches the tongue to some other structure.			extrinsic lingual muscle|extrinsic tongue muscle	
intrinsic muscle of tongue	UBERON_0001576	The intrinsic tongue muscles are an integral part of the tongue and completely contained within the tongue that are innervated by Cranial Nerve XII.			intrinsic tongue muscle|intrinsic lingual muscle	
facial muscle	UBERON_0001577	A muscle innervated by a facial nerve.			muscle organ of face|muscle of face|face muscle organ|facial muscle proper|face muscle|facial muscle|facial nerve innervated muscle|facial nerve muscle	cranial-facial muscle|cranio-facial muscle|muscle of facil expression|craniofacial muscle|mimetic muscles|muscles of facial expression|musculi faciei
olfactory nerve	UBERON_0001579	Nerve that carries information from the olfactory epithelium to the olfactory bulb[Butler and Hodos].		1n	olfactory i nerve|first cranial nerve|olfactory nerve [I]|nervus olfactorius [i]|olfactory I	nerve of smell|olfactory fila|nervus olfactorius|nerve I|CN-I|cranial nerve I|fila olfactoria|olfactoria fila
left subclavian artery	UBERON_0001584	The subclavian artery that supplies the left pectoral appendage			arteria subclavia (sinistra)	
anterior vena cava	UBERON_0001585	A vein that carries deoxygenated blood from the upper half of the body into the right atrium of the heart.			superior caval vein|superior vena cava	vena maxima|cranial vena cava|precava|vena cava superior
internal jugular vein	UBERON_0001586	One of two jugular veins that collect the blood from the brain, the superficial parts of the face, and the neck. [WP,unvetted].			internal jugular|internal jugular venous tree	vena jugularis interna
thymic vein	UBERON_0001591	A vein that drains blood from the thymus.			vena thymica|thymic tributary of brachiocephalic vein	venae thymicae
bronchial vein	UBERON_0001592	The bronchial veins are small vessels that return blood from the larger bronchi and structures at the roots of the lungs. The right side drains into the azygos vein, while the left side drains into the left superior intercostal vein or the accessory hemiazygos vein. The bronchial veins are counterparts to the bronchial arteries. The veins, however, do not return all of the blood supplied by the arteries; much of the blood that is carried in the bronchial arteries is returned to the heart via the pulmonary veins. [WP,unvetted].			bronchial venous tree	
venous plexus	UBERON_0001593	A congregation of multiple veins.			venous network	rete venosum|plexus venosus
ciliary muscle	UBERON_0001605	The ciliary muscle is a ring of smooth muscle in the middle layer of the eye that controls the eye's accommodation for viewing objects at varying distances and regulates the flow of aqueous humour through Schlemm's canal. [WP,unvetted].			musculus ciliarus	Bowman`s muscles|ciliaris|musculus ciliaris
muscle of iris	UBERON_0001606	.			muscle organ of iris|iris muscle|iris muscle organ	
sphincter pupillae	UBERON_0001607	A sphincter muscle that is part of the iris.			iris sphincter muscle|musculus sphincter pupillae|M. sphincter pupillae|sphincter muscle of pupil	pupillary constrictor muscle|sphincter pupillae|constrictor pupillae|pupillary sphincter|sphincter pupillae muscle|circular fibers|m. sphincter pupillae|pupillary sphincter muscle|iris constrictor|iris sphincter|spincter pupillae|iris constrictor muscle
dilatator pupillae	UBERON_0001608	A smooth muscle of the eye, running radially in the iris that functions as a dilator. [WP,unvetted].			radial muscle of iris|pupillary dilator muscle|dilator pupillae muscle|dilator pupillae|musculus dilatator pupillae|iris dilator muscle|dilator of pupil|dilator muscle of pupil	musculus dilator pupillae|dilator pupillae muscle|pupillary muscle|iris dilator|pupil dilator muscle|pupillary dilator|radiating fibers|musculus dilatator pupillae|pupil dilator|radial muscle
lingual artery	UBERON_0001610	The lingual artery arises from the external carotid between the superior thyroid and facial artery[WP].			lingual branch of external carotid artery	arteria lingualis
facial artery	UBERON_0001612	A branch of the external carotid artery that supplies structures of the face. [WP,unvetted].				external maxillary artery|arteria maxillaris externa
occipital artery	UBERON_0001613	The occipital artery arises opposite the facial artery, its path is below the posterior belly of digastric to the occipital region. This artery supplies blood to the back of the scalp and sterno-mastoid muscles. Other muscles it supplies are deep muscles in the back and neck. [WP,unvetted].				arteria occipitalis
maxillary artery	UBERON_0001616	An artery that supplies deep structures of the face. It comes just out behind the neck of the mandible. [WP,unvetted].				internal maxillary artery|arteria maxillaris
ophthalmic artery	UBERON_0001619	The ophthalmic artery is a branch of the internal carotid artery which supplies branches to supply the eye and other structures in the orbit. It enters the orbit together with the Optic nerve through the Optic foramen/canal. [WP,modified].				opthalmic artery|arteria ophthalmica
coronary artery	UBERON_0001621	An artery that supplies the myocardium.			coronary arterial tree	coronary vessel
lacrimal artery	UBERON_0001622	The lacrimal artery arises close to the optic foramen, and is one of the largest branches derived from the ophthalmic artery: not infrequently it is given off before the artery enters the orbit. It accompanies the lacrimal nerve along the upper border of the Lateral Rectus, supplies the lacrimal gland. [WP,unvetted].				a. lacrimalis
posterior communicating artery	UBERON_0001628	One of a pair of right-sided and left-sided blood vessels in the circle of Willis. It connects the three cerebral arteries of the same side. Anteriorly, it is one portion of the terminal trifurcation of the internal carotid artery. The anterior cerebral artery and the middle cerebral artery are the other two branches of the trifurcation. Posteriorly, it communicates with the posterior cerebral artery.			caudal communicating segment|posterior communicating segment of the basilar artery	PCS|arteria cerebri communicans posterior|PCA
muscle organ	UBERON_0001630	Organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work[GO].		muscle		
artery	UBERON_0001637	An epithelial tube or tree of tibes that transports blood away from the heart[modified from AEO definition].			arterial tree organ part|arteries|arterial subtree	arterial vessel|arterial system
vein	UBERON_0001638	Any of the tubular branching vessels that carry blood from the capillaries toward the heart.		venous subtree|venous vessel	venous tree organ part	vascular element|vena|venae
celiac artery	UBERON_0001640	The first major branch of the abdominal aorta.	dorsal aorta in Kardong		coeliac artery|celiac tree	truncus cœliacus|coeliac axis|coeliac trunk|arteria cœliaca|truncus coeliacus|coeliac trunck|arteria coeliaca|celiac trunk
trigeminal nerve	UBERON_0001645	Cranial nerve that has three branches - the ophthalmic (supplying the skin of the nose and upper jaw), the maxillary and the mandibular (supplying the lower jaw).		5n	nervus trigeminus [v]|trigeminal v nerve|trigeminal nerve tree|nervus trigeminus|trigeminal nerve [V]|fifth cranial nerve|trigeminal V	nerve V|nervus trigeminus|cranial nerve V|CN-V|trigeminus
facial nerve	UBERON_0001647	Cranial nerve that branches into the supraorbital (supplying the skin of the eye region and the lateral line organs here), the palatine (to the roof of the buccal cavity), and the hyomandibular (dividing into the jugular and mental branches).		7n	facial nerve tree|nervus facialis|face nerve|nervus facialis [vii]|seventh cranial nerve|facial VII|facial VII nerve|branchiomeric cranial nerve|facial nerve [VII]|nerve of face	facial nerve or its root|facial nerve/root|CN-VII|nervus facialis|cranial nerve VII|nerve VII
vestibulocochlear nerve	UBERON_0001648	Cranial nerve that transmits sound and equilibrium (balance) information from the inner ear to the brain.		8n	acoustic nerve (Crosby)|vestibulocochlear VIII nerve|VIIIth cranial nerve|eighth cranial nerve|nervus vestibulocochlearis [viii]|CN-VIII|cranial nerve VIII|stato-acoustic nerve|vestibulocochlear nerve [VIII]|acoustic nerve|VIII nerve|cochlear-vestibular nerve|vestibulocochlear nerve tree|acoustic VIII nerve|cochleovestibular nerve	nervus octavus|statoacoustic nerve|octaval nerve|nervus statoacusticus|nervus vestibulocochlearis
glossopharyngeal nerve	UBERON_0001649	Cranial nerve that branches into the ramus communicans (to the skin), the pretrematic (to the walls of the pharynx and mouth, viscero-sensory fibers), and the larval post-trematic branch (lost in the adult).		9n	glossopharyngeal nerve [IX]|glossopharyngeal nerve tree|ninth cranial nerve|nervus glossopharyngeus [ix]|glossopharyngeal IX|glossopharyngeal IX nerve|nervus glossopharyngeus	cranial nerve IX|CN-IX|nerve IX|nervus glossopharyngeus
hypoglossal nerve	UBERON_0001650	Cranial nerve that innervates the muscles of the tongue.		12n	hypoglossal nerve tree|hypoglossal XII nerve|hypoglossal nerve [XII]|hypoglossal XII|cranial nerve XII|nervus hypoglossus [xii]|twelfth cranial nerve	hypoglossal nerve/ root|CN-XII|nervus hypoglossus|nerve XII|nervi hypoglossalis
right pulmonary artery	UBERON_0001651	The pulmonary artery that supplies the right lung.			right pulmonary arterial tree|right main pulmonary artery	arteria pulmonalis dextra
left pulmonary artery	UBERON_0001652	The pulmonary artery that supplies the left lung.			left main pulmonary artery|left pulmonary arterial tree	arteria pulmonalis sinistra
facial vein	UBERON_0001653	The anterior facial vein (facial vein) commences at the side of the root of the nose, and is a direct continuation of the angular vein where it also receives a small nasal branch. It lies behind the facial artery and follows a less tortuous course. It receives blood from the external palatine vein before it either joins the anterior branch of the retromandibular vein to form the common facial vein, or drains directly into the internal jugular vein. [WP,unvetted].			vein of face|face vein	anterior facial vein|vena facialis anterior
cerebral vein	UBERON_0001663	The cerebral veins are divisible into external and internal groups according to the outer surfaces or the inner parts of the hemispheres they drain into. The external veins are the superior cerebral veins, inferior cerebral veins, and middle cerebral vein. [WP,unvetted].				venae cerebri|venae encephali
cerebellar vein	UBERON_0001668	A vein that drains the cerebellum.			cerebellum vein|vein of epencephalon-1|vein of cerebellum|epencephalon-1 vein	
trigeminal ganglion	UBERON_0001675	The cranial ganglion that is associated with and extends fibers into the trigeminal nerve.			5th ganglion|semilunar ganglion|trigeminal V ganglion|fifth ganglion|Gasserian ganglion|ganglion of trigeminal complex	Gasser's ganglion|trigeminal ganglia|ganglion of trigeminal nerve|Gasserian ganglia|ganglion trigeminale|trigeminus ganglion|gV|ganglion semilunare
occipital bone	UBERON_0001676	the bone at the lower, posterior part of the skull				os occipitale|occipital squama|occipital complex
sphenoid bone	UBERON_0001677	An unpaired bone situated at the base of the skull in front of the temporal bone and basilar part of the occipital bone. The sphenoid bone is one of the seven bones that articulate to form the orbit. Its shape somewhat resembles that of a butterfly or bat with its wings extended.			os sphenoidale|sphenoidal bone|sphenoid	sphenoid complex|butterfly bone|os sphenoidale|os sphenoidum
temporal bone	UBERON_0001678	the large, irregular bone located at the base and side of the skull; consists of three parts at birth: squamous, tympanic, and petrous				os temporale
hyoid bone	UBERON_0001685	A horseshoe shaped bone situated in the anterior midline of the neck between the chin and the thyroid cartilage. The hyoid bone provides attachment to the muscles of the floor of the mouth and the tongue above, the larynx below, and the epiglottis and pharynx behind. [WP,modified].				os hyoideum|lingual bone|hyoideum|hyoid|hyoid bone
auditory ossicle bone	UBERON_0001686	One of 3 small bones contained within the middle ear space and serve to transmit sounds from the air to the fluid-filled labyrinth. The absence of the auditory ossicles would constitute a moderate-to-severe hearing loss. The term 'ossicles' literally means 'tiny bones' and commonly refers to the auditory ossicles, though the term may refer to any small bone throughout the body. [WP,unvetted].		ossicle	auditory bone|middle ear ossicle	ossicle of ear|ear bone|auditory ossicle|ossicular chain|ossicle of inner ear|ear ossicles|ear ossicle|middle ear bone
ear	UBERON_0001690	Sense organ in vertebrates that is specialized for the detection of sound, and the maintenance of balance. Includes the outer ear and middle ear, which collect and transmit sound waves; and the inner ear, which contains the organs of balance and (except in fish) hearing. Also includes the pinna, the visible part of the outer ear, present in some mammals.				auris|auditory apparatus
external ear	UBERON_0001691	Part of the ear external to the tympanum (eardrum). It typically consists of a tube (the external auditory meatus) that directs sound waves on to the tympanum, and may also include the external pinna, which extends beyond the skull[GO].		auricular region	outer ear|auricular region of head	auris externa
